pw1,pw2,pw3,pw4,pw5,pw6,pw7,pw8,pw9,pw10,index,平均值
65.43226603317169,66.78519883860174,67.11002706563531,63.90837870754947,70.08347015837387,67.44617412831764,69.18374084519941,65.32426715821396,55.73120231133302,69.95004215959678,176,65.94837876883652
67.65404923287689,67.98034250175074,68.92768615126498,68.28884643205927,66.83563393234613,65.51476501256019,69.18374084519941,70.24467535900212,68.42434735558055,64.98908082071719,148,68.12771584230995
72.13611837256381,65.16301679457744,68.92768615126498,72.34975632492453,66.83563393234613,76.86740665236124,79.05714687975062,70.24467535900212,76.04023438212907,81.67697980898461,6,70.24244590240116
68.78419220286776,78.14047314677175,68.92768615126498,70.99611969396945,66.83563393234613,68.99074340434468,67.61153254499347,73.02122962394849,69.99428712263965,76.44599623839325,47,70.04091158236545
67.10822911801972,65.08776029899761,67.11002706563531,63.07446786468553,74.17046784250715,73.62445123242583,66.03932424478754,62.64018638615404,74.77091987770432,66.64273460034372,198,68.2765532178672
67.10822911801972,65.86875986209176,68.92768615126498,63.95942923448333,73.8651042162325,72.07988195639878,69.18374084519941,64.16108418072366,74.77091987770432,63.33542704109066,191,68.50956702434307
67.10822911801972,66.21707862467548,70.74534523689464,66.93520980110418,68.90669225503721,64.35703557626354,63.90116782766808,68.2456964287374,74.77091987770432,66.64273460034372,180,68.49516663790963
70.46015528771578,73.2739270146989,70.74534523689464,77.44529275014062,63.729339494347286,73.95408768537631,70.75594914540534,73.28647094814136,67.1550328511558,69.95004215959678,64,70.80384609194408
68.78419220286776,68.40738088262603,68.92768615126498,66.8947816038553,74.63446493058731,72.07988195639878,66.03932424478754,69.49040480440948,72.23229086885482,74.91100349847636,171,70.1973942578966
70.46015528771578,74.89610905872318,68.92768615126498,72.34975632492453,66.83563393234613,76.79663157936258,78.60699181247512,67.20287976986289,68.42434735558055,81.60715622520333,7,69.87093826863115
73.41511278043033,73.2739270146989,70.74534523689464,79.11793947969996,68.90669225503721,64.35703557626354,73.30458095458212,68.72377756443251,77.30954888655383,71.75527310767882,100,71.77632371622579
72.38909561167152,78.14047314677175,74.38066340815398,68.28884643205927,78.46152939230909,65.90160485229059,70.05844386958567,77.8491643318502,76.04023438212907,79.87196483735595,162,74.35327877008726
70.58459944121304,68.40738088262603,70.74534523689464,68.28884643205927,75.9872631660988,65.90160485229059,68.32051568653704,76.32826653728058,87.46406492195186,68.29638837997024,160,72.20455674901045
80.51593379680396,70.02956292665031,75.12745915510037,78.39690530696161,79.26198386849269,76.71358978447992,77.04478234622907,76.58140559260389,68.42434735558055,74.91100349847636,97,75.27160051095898
72.13611837256381,73.2739270146989,70.61356446570235,72.31951932720723,70.97775057772832,75.16902050845287,70.75594914540534,76.32826653728058,78.57886339097858,68.67187590348101,138,73.88855650672977
73.79674630872377,73.65865038419182,72.5630043225243,76.41066621778978,70.97775057772832,71.03261316998578,72.32815744561127,76.32826653728058,78.57886339097858,71.6036959392233,146,74.11291491873374
76.36157269107528,75.84193586087002,76.19832249378365,79.11793947969996,75.1198672231105,73.21527752653293,75.47257404602314,74.80736874271096,87.46406492195186,68.29638837997024,147,76.63950361246432
72.13611837256381,74.89610905872318,74.32437896920983,79.11793947969996,70.97775057772832,76.71358978447992,72.32815744561127,77.8491643318502,74.59561339626289,75.9898984489643,88,74.85983272152238
78.83997071195593,76.51829110274747,76.19832249378365,81.82521274161013,75.1198672231105,82.67520726678818,84.33439226023198,76.32826653728058,65.88571834673104,87.92175263981585,9,75.81652130817419
75.48804454225987,89.49574745494178,79.29055069275492,79.11793947969996,77.19092554580159,78.25815906050698,75.47257404602314,79.37006212641981,77.48795600612839,80.5022558677462,82,79.19906460795046
85.54382305134806,89.49574745494178,87.10427700756166,86.77523506398653,76.35390401107044,84.8578878911311,84.90582384725873,76.32826653728058,73.50160537327956,74.91100349847636,60,81.68436382430666
80.51593379680396,78.14047314677175,81.65129975067265,74.91923966847418,87.17292751796884,73.62445123242583,81.76140724684687,78.99536313721921,73.50160537327956,91.44754129474164,172,80.0918159773632
81.01595882571694,86.25138336689321,81.65129975067265,83.17884937256522,88.75263345549648,87.52557471666927,77.93547743807291,76.32826653728058,77.30954888655383,83.179272396609,164,82.2034564324634
88.89574922104411,81.05908757903964,87.10427700756166,83.17884937256522,87.54621715925705,81.34729761256108,78.09740998689678,81.97734266292895,82.38680690425284,74.91100349847636,182,83.62431439653119
82.191896881652,78.14047314677175,83.46895883630232,91.30066915829576,83.40410051387488,90.4923819992476,92.87558276171532,85.45365330469828,90.00269393080136,95.78827228040022,4,84.85177796748519
87.21978613619609,82.32831352628381,81.33424276471843,79.23791184207083,87.54621715925705,81.34729761256108,86.47803214746466,83.93275551012866,81.11749239982808,74.91100349847636,152,83.22179778055886
85.54382305134806,84.62920132286891,84.5376103892282,82.66493083245801,87.54621715925705,85.98100544064222,86.47803214746466,88.4954488938375,83.65612140867759,81.35401180797494,133,86.04712134629942
87.21978613619609,86.25138336689321,90.41533775173752,85.8861226344754,76.15791605518356,87.52557471666927,84.90582384725873,88.16141560981598,74.77091987770432,88.14023373548858,14,84.95712061638366
87.21978613619609,87.27304707614735,86.92392063278969,82.90867625791769,91.68833380463924,84.43643616461517,88.0502404476706,93.05814227754637,95.07995194850038,81.52561861698247,150,88.72264419945004
95.59960156043624,92.74011154299036,98.01023152133968,93.41099608304424,89.78335153041772,92.87860444763416,91.19465704808246,94.57904007211596,86.1947504175271,81.52561861698247,68,91.4062872542106
