0,1,2,3,4,5,6,7,8,9,index,平均值
69.63026824217116,77.37134682152183,66.43136191228267,73.80196190397025,66.43136191228267,79.16614739405809,68.94848592239393,67.4598597583016,67.57620190994786,69.13744572215046,7,48.87023624604781
64.67350858812998,82.71053034842413,66.43136191228267,72.04705714404464,66.43136191228267,72.42598362288244,64.33569250283165,61.416852356481904,60.371247879445065,71.02437633065024,47,48.90554960308781
64.67350858812998,66.69297976771722,66.43136191228267,59.76272382456536,66.43136191228267,76.91942613699953,59.722899083269375,65.44552395769504,71.17867892519925,80.45902937314916,171,48.60778837867472
74.58702789621233,61.3537962408149,66.43136191228267,73.80196190397025,66.43136191228267,61.1923773375897,78.17407276151847,71.48853135951475,74.78115594045066,63.47665389665111,6,48.88751971655283
69.63026824217116,74.70175505807067,73.1,70.29215238411902,73.1,79.16614739405809,73.5612793419562,75.51720296072789,66.37537623819739,74.7982375476498,64,50.76841193887731
69.63026824217116,74.70175505807067,73.1,82.57648570359831,73.1,65.6858198517068,78.17407276151847,69.47419555890818,75.98198161220112,63.47665389665111,100,51.46202377844851
74.58702789621233,66.69297976771722,73.1,68.53724762419341,73.1,67.93254110876534,73.5612793419562,79.54587456194102,85.58858698620485,72.91130693915002,160,51.43085369879718
74.58702789621233,74.70175505807067,79.76863808771732,82.57648570359831,79.76863808771732,81.41286865111663,73.5612793419562,79.54587456194102,77.18280728395159,72.91130693915002,138,54.07602508809657
84.5005472042947,69.36257153116837,79.76863808771732,79.06667618374708,79.76863808771732,79.16614739405809,78.17407276151847,79.54587456194102,77.18280728395159,76.6851681561496,146,55.01918751227424
84.5005472042947,82.71053034842413,86.43727617543463,68.53724762419341,86.43727617543463,67.93254110876534,82.78686618108074,81.5602103625476,74.78115594045066,86.11982119864851,162,54.80787827584643
